Date,Workout Type,Exercise,Reps and Sets,Weight (Set 1),Reps (Set 1),Weight (Set 2),Reps (Set 2),Weight (Set 3),Reps (Set 3),Weight (Set 4),Reps (Set 4),Weight (Set 5),Reps (Set 5),Note
5/6/2024,Heavy Pull,Standing barbell,4 Sets,70.,8,70.,8,70.,8,70.,8,,,this week. Perfect
5/6/2024,-Superset-,,,,,,,,,,,,,
5/6/2024,Heavy Pull,Deadlift,3 Sets,215.,10,215.,10,215.,10,,,,,trying 215. Perfect
5/6/2024,Heavy Pull,Preachers,3xFail + Drop,60.,,60.,,60.,,,Dropset,,,free weight this time. PERFECT on machine. Trying 60 on bb
5/6/2024,Heavy Pull,Sitting overhead pull downs,3xFail,100.,,100.,,100.,,,,,,Hard. Went 100 to get full rep. Go 110 next week.
,,,,,,,,,,,,,,
5/16/2024,Heavy Pull,Stretch sitting curls,4xFail,30.,,30.,,30.,,30.,,,,Trying 30 again. Perfect. Try 3 sets of 35 next week.
5/16/2024,Heavy Pull,Sitting back rows,4xFail,125.,,125.,,125.,,125.,,,,Perfect. Maybe 5 pounds too heavy.
5/16/2024,Heavy Pull,Rope hammer curl,4xFail,42.5,,42.5,,42.5,,42.5,,,,perfect.
5/16/2024,Heavy Pull,Sitting overhead pull downs,3xFail,120.,,120.,,120.,,,,,,120-130 range. 140 is too much. Go 120
5/16/2024,Heavy Pull,Sitting hammer curls,4 Sets + Drop,25.,15,20.,12,20.,10,20.,8,,Dropset,25 too heavy. Go one more week at 20
5/16/2024,Heavy Pull,21s,2 Sets,40.,21,40.,21,,,,,,,Pretty fuckin hard
,,,,,,,,,,,,,,
5/21/2024,Heavy Pull,Standing barbell,4 Sets,70.,8,70.,8,70.,8,70.,8,,,this week. Perfect
5/21/2024,-Superset-,,,,,,,,,,,,,
5/21/2024,Heavy Pull,Deadlift,3 Sets,225.,10,225.,10,225.,10,,,,,trying 225. Perfect. Could go to 235 next week.
5/21/2024,Heavy Pull,Preachers,3xFail + Drop,70.,,70.,,70.,,,Dropset,,,free weight this time. going 70 this week.
5/21/2024,Heavy Pull,Sitting overhead pull downs,3xFail,100.,,100.,,100.,,,,,,Hard. Went 100 to get full rep. Go 110 next week.
,,,,,,,,,,,,,,
5/29/2024,Heavy Pull,Reg width pull ups,3 Sets,Bodyweight,,Bodyweight,,Bodyweight,,,,,,
5/29/2024,-Superset-,,,,,,,,,,,,,
5/29/2024,Heavy Pull,Shrugs,3xFail,90.,,90.,,90.,,,,,,next time
5/29/2024,-Superset-,,,,,,,,,,,,,
5/29/2024,Heavy Pull,21s,2 Sets,50.,21,50.,21,,,,,,,Hard af
5/29/2024,Heavy Pull,Rope hammer curls,4xFail,42.5,,42.5,,42.5,,42.5,,,,
5/29/2024,-Superset-,,,,,,,,,,,,,
5/29/2024,Heavy Pull,Sitting back rows,3 Sets,110.,,110.,,110.,,,,,,Trying 110
,,,,,,,,,,,,,,
6/10/2024,Heavy Pull,Stretch sitting curls,4xFail,35.,8,35.,6,35.,,35.,,,,Perfect.
6/10/2024,Heavy Pull,Sitting back rows,4xFail,125.,,125.,,125.,,125.,,,,Perfect. Maybe 5 pounds too heavy.
6/10/2024,Heavy Pull,Rope hammer curl,4xFail,42.5,,42.5,,42.5,,42.5,,,,or sitting hammer curls at 20lb. perfect.
6/10/2024,Heavy Pull,Sitting overhead pull downs,3xFail,120.,,120.,,120.,,,,,,120-130 range. 140 is too much. Go 120
6/10/2024,Heavy Pull,Tricep pull downs,3xFail,57.5,,57.5,,57.5,,,,,,
6/10/2024,Heavy Pull,21s,2 Sets,40.,21,40.,21,,,,,,,Pretty fuckin hard
,,,,,,,,,,,,,,
6/19/2024,Heavy Pull,Standing barbell,4 Sets,70.,8,70.,8,70.,8,70.,8,,,this week. Perfect
6/19/2024,-Superset-,,,,,,,,,,,,,
6/19/2024,Heavy Pull,Deadlift,3 Sets,235.,10,235.,10,235.,10,,,,,trying 235 this week
6/19/2024,Heavy Pull,Preachers,3xFail + Drop,70.,,70.,,70.,,,Dropset,,,free weight this time. going 70 this week.
6/19/2024,Heavy Pull,Sitting row machine,3xFail,120.,,120.,,120.,,,,,,perfect
,,,,,,,,,,,,,,
6/24/2024,Heavy Bis and Tris,Standing barbell,4xFail,70.,,70.,,70.,,70.,,,,this week. Perfect
6/24/2024,Heavy Bis and Tris,Rope pull downs,4xFail,57.5,,57.5,,57.5,,57.5,,,,Perfect.
6/24/2024,Heavy Bis and Tris,Preachers,3xFail + Drop,70.,,70.,,70.,,,Dropset,,,going 70 this week.
6/24/2024,Heavy Bis and Tris,Overhead rope pulls,4xFail,,,,,,,,,,,
,,,,,,,,,,,,,,
7/8/2024,Heavy Bis and Tris,Standing barbell,4xFail,70.,,70.,,70.,,70.,,,,this week. Perfect
7/8/2024,Heavy Bis and Tris,Rope pull downs,4xFail,57.5,,57.5,,57.5,,57.5,,,,Perfect.
7/8/2024,Heavy Bis and Tris,Preachers,3xFail + Drop,70.,,70.,,70.,,,Dropset,,,going 70 this week.
7/8/2024,Heavy Bis and Tris,Overhead rope pulls,4xFail,,,,,,,,,,,
,,,,,,,,,,,,,,
7/17/2024,Heavy Pull,Reg width pull ups,3 Sets,Bodyweight,,Bodyweight,,Bodyweight,,,,,,
7/17/2024,Heavy Pull,Shrugs,3xFail,90.,12,90.,,90.,,,,,,95 next time or 100. 90 got 12 reps
7/17/2024,Heavy Pull,21s,2 Sets,50.,21,50.,21,,,,,,,Hard af
7/17/2024,Heavy Pull,Rope hammer curls,4xFail,42.5,,42.5,,42.5,,42.5,,,,
7/17/2024,-Superset-,,,,,,,,,,,,,
7/17/2024,Heavy Pull,Sitting back rows,3 Sets,120.,,120.,,120.,,,,,,
,,,,,,,,,,,,,,
7/30/2024,Heavy Bis and Tris,21s warm up,1 Set,,,,,,,,,,,Add skull-crushers here next time for first tri exercise
7/30/2024,Heavy Bis and Tris,Standing barbell,4xFail,70.,,70.,,70.,,70.,,,,this week. Perfect
7/30/2024,-Superset-,,,,,,,,,,,,,
7/30/2024,Heavy Bis and Tris,Rope pull downs,4xFail,62.5,,62.5,,62.5,,62.5,,,,Perfect.
7/30/2024,Heavy Bis and Tris,Preachers,3xFail + Drop,70.,,70.,,70.,,,Dropset,,,going 70 this week.
7/30/2024,Heavy Bis and Tris,Overhead rope pulls,4xFail,57.5,,57.5,,57.5,,57.5,,,,
,,,,,,,,,,,,,,
8/8/2024,Heavy Bis and Tris,21s warm up,1 Set,,,,,,,,,,,Add skull-crushers here next time for first tri exercise
8/8/2024,Heavy Bis and Tris,Standing barbell,4xFail,70.,,70.,,70.,,70.,,,,this week. Perfect
8/8/2024,-Superset-,,,,,,,,,,,,,
8/8/2024,Heavy Bis and Tris,Rope pull downs,4xFail,62.5,,62.5,,62.5,,62.5,,,,Perfect.
8/8/2024,Heavy Bis and Tris,Preachers,3xFail + Drop,80.,,80.,,80.,,,Dropset,,,going 80 this week
8/8/2024,Heavy Bis and Tris,Overhead rope pulls,4xFail,62.5,,62.5,,62.5,,62.5,,,,this week
,,,,,,,,,,,,,,
8/20/2024,Heavy Pull,Stretch sitting curls,4xFail,35.,8,35.,6,35.,,35.,,,,Perfect.
8/20/2024,Heavy Pull,Skullcrushers,3xFail,70.,,70.,,70.,,,,,,Perfect
8/20/2024,Heavy Pull,Rope hammer curl,4xFail,62.5,,62.5,,62.5,,62.5,,,,or sitting hammer curls at 30/35
8/20/2024,Heavy Pull,Tricep pull downs,3xFail,62.5,,62.5,,62.5,,,,,,
8/20/2024,Heavy Pull,21s,2 Sets,40.,21,40.,21,,,,,,,Pretty fuckin hard
,,,,,,,,,,,,,,
8/27/2024,Heavy Pull,Stretch sitting curls,4xFail,35.,8,35.,8,35.,5,35.,,,,Perfect.
8/27/2024,Heavy Pull,Skullcrushers,3xFail,70.,,70.,,70.,,,,,,Perfect
8/27/2024,Heavy Pull,Sitting hammer curls,4xFail,52.5,,52.5,,52.5,,52.5,,,,at 30/35. Move to 57.5
8/27/2024,Heavy Pull,Tricep pull downs,3xFail,62.5,,62.5,,62.5,,,,,,
8/27/2024,Heavy Pull,21s,2 Sets,40.,21,40.,21,,,,,,,Pretty fuckin hard
,,,,,,,,,,,,,,
9/5/2024,Heavy Bis and Tris,21s warm up,1 Set,,,,,,,,,,,Add skull-crushers here next time for first tri exercise
9/5/2024,Heavy Bis and Tris,Standing barbell,4xFail,70.,,70.,,70.,,70.,,,,this week. Perfect
9/5/2024,Heavy Bis and Tris,Stretch skulls,3xFail,70.,,70.,,70.,,,,,,Perfect.
9/5/2024,Heavy Bis and Tris,Preachers,3xFail + Drop,80.,,80.,,80.,,,Dropset,,,going 80 this week
9/5/2024,Heavy Bis and Tris,Overhead rope pulls,4xFail,62.5,,62.5,,62.5,,62.5,,,,this week
,,,,,,,,,,,,,,
9/17/2024,Heavy Pull,Stretch sitting curls,4xFail,35.,7,35.,7,35.,,35.,,,,Perfect.
9/17/2024,Heavy Pull,Skullcrushers,3xFail,70.,,70.,,70.,,,,,,Perfect
9/17/2024,Heavy Pull,Sitting hammer curls,4xFail,35.,,35.,,35.,,35.,,,,
9/17/2024,Heavy Pull,Tricep pull downs,3xFail,62.5,,62.5,,62.5,,,,,,
9/17/2024,Heavy Pull,21s,2 Sets,40.,21,40.,21,,,,,,,Pretty fuckin hard
,,,,,,,,,,,,,,
9/25/2024,Heavy Bis and Tris,21s warm up,1 Set,,,,,,,,,,,
9/25/2024,Heavy Bis and Tris,Standing barbell,4xFail,70.,,70.,,70.,,70.,,,,this week. Perfect
9/25/2024,Heavy Bis and Tris,Stretch skulls,3xFail,70.,,70.,,70.,,,,,,Perfect.
9/25/2024,Heavy Bis and Tris,Preachers,3xFail + Drop,80.,,80.,,80.,,,Dropset,,,"rope curl pulls this week, preacher machine blocked off. going 80 this week"
9/25/2024,Heavy Bis and Tris,Overhead rope pulls,4xFail,62.5,,62.5,,62.5,,62.5,,,,this week
,,,,,,,,,,,,,,
10/15/2024,Heavy Pull,Reg width pull ups,3 Sets,Bodyweight,,Bodyweight,,Bodyweight,,,,,,
10/15/2024,Heavy Pull,Shrugs,3xFail,90.,12,90.,,90.,,,,,,95 next time or 100.
10/15/2024,Heavy Pull,21s,2 Sets,50.,21,50.,21,,,,,,,Hard af
10/15/2024,Heavy Pull,Sitting back rows,3 Sets,60.,,60.,,60.,,,,,,
,,,,,,,,,,,,,,
10/24/2024,Heavy Pull,Reg width pull ups,3 Sets,Bodyweight,7,Bodyweight,6.5,Bodyweight,6,,,,,
10/24/2024,Heavy Pull,Shrugs,3xFail,95.,,95.,,95.,,,,,,Going 95 should be a bitch
10/24/2024,Heavy Pull,21s,2 Sets,50.,21,50.,21,,,,,,,Hard af
10/24/2024,Heavy Pull,Sitting back rows,3 Sets,60.,,60.,,60.,,,,,,machine today by the windows
,,,,,,,,,,,,,,
11/20/2024,Heavy Pull,Stretch sitting curls,4xFail,30.,8,30.,6,30.,,30.,,,,Go 30 again next time till you can go at least 9-10 reps.
11/20/2024,Heavy Pull,Sitting back rows,4xFail,60.,,60.,,60.,,60.,,,,
11/20/2024,Heavy Pull,Rope hammer curl,4xFail,42.5,,42.5,,42.5,,42.5,,,,perfect.
11/20/2024,Heavy Pull,Sitting overhead pull downs,3xFail,120.,,120.,,120.,,,,,,120-130 range. 140 is too much. Go 120
11/20/2024,Heavy Pull,Sitting hammer curls,4 Sets + Drop,25.,15,20.,12,20.,10,20.,8,,Dropset,25 too heavy. Go one more week at 20 then maybe try moving up. 20 might be fine this late in the workout too.
,,,,,,,,,,,,,,
12/16/2024,Heavy Pull,Standing barbell,4 Sets,70.,8,70.,8,70.,8,70.,8,,,this week. Perfect
12/16/2024,-Superset-,,,,,,,,,,,,,
12/16/2024,Heavy Pull,Deadlift,3 Sets,235.,10,235.,10,235.,10,,,,,perfect
12/16/2024,Heavy Pull,Preachers,3xFail + Drop,75.,,75.,,75.,,,Dropset,,,free weight this time. going 75
12/16/2024,Heavy Pull,Sitting row machine,3xFail,120.,,120.,,120.,,,,,,perfect
,,,,,,,,,,,,,,
12/22/2024,Heavy Bis,Reg width pull ups,3 Sets,Bodyweight,,Bodyweight,,Bodyweight,,,,,,
12/22/2024,Heavy Bis,21s,2 Sets,50.,21,50.,21,,,,,,,
12/22/2024,Heavy Bis,Preachers,4 Sets + Drop,,,,,,,,,,Dropset,
,,,,,,,,,,,,,,
12/23/2024,Heavy Back,Forgot to track workout,1 Set,,,,,,,,,,,
,,,,,,,,,,,,,,
1/2/2025,Heavy Pull,Reg width pull ups,3x6,Bodyweight,6,Bodyweight,6,Bodyweight,6,,,,,
1/2/2025,Heavy Pull,Sitting wide curls,3xFail,25.,,20.,,20.,,,,,,
1/2/2025,Heavy Pull,Sitting row pulls,3xFail + Drop,120.,,120.,,120.,,,Dropset,,,
1/2/2025,Heavy Pull,21s,2 Sets,50.,21,50.,21,,,,,,,
1/2/2025,Heavy Pull,Preachers,4xFail + Drop,,,,,,,,,,Dropset,
,,,,,,,,,,,,,,
1/23/2025,Heavy Pull,Standing barbell,4x8,70.,8,70.,8,70.,8,70.,8,,,Perfect
1/23/2025,-Superset-,,,,,,,,,,,,,
1/23/2025,Heavy Pull,Deadlift,3x10,235.,10,235.,10,235.,10,,,,,Perfect
1/23/2025,Heavy Pull,Preachers,3xFail + Drop,70.,,70.,,70.,,,Dropset,,,going 70
1/23/2025,Heavy Pull,Sitting row machine,3xFail,120.,,120.,,120.,,,,,,perfect
,,,,,,,,,,,,,,
1/28/2025,Heavy Pull,Reg width pull ups,3x6,Bodyweight,6,Bodyweight,6,Bodyweight,6,,,,,
1/28/2025,Heavy Pull,Sitting wide curls,3xFail,25.,,20.,,20.,,,,,,
1/28/2025,Heavy Pull,Sitting wide rows,3xFail + Drop,40.,,40.,,40.,,,Dropset,,,
1/28/2025,Heavy Pull,Sitting overhead bar curls,3xFail + Drop,120.,,120.,,120.,,,Dropset,,,Pretty Fuckin hard
1/28/2025,Heavy Pull,Preachers,,,,,,,,,,,,skipped today; go shrugs next workout
,,,,,,,,,,,,,,
2/5/2025,Heavy Pull,Stretch sitting curls,4xFail,30.,,35.,,35.,,35.,,,,
2/5/2025,Heavy Pull,Sitting back rows,4xFail,120.,,140.,,140.,,140.,,,,
2/5/2025,Heavy Pull,Rope hammer curl,4xFail + Drop,42.5,,50.,,50.,,50.,Dropset,,,
2/5/2025,Heavy Pull,Sitting overhead pull downs,3xFail,120.,,120.,,120.,,,,,,120-130 range; 140 too much
,,,,,,,,,,,,,,
2/12/2025,Heavy Pull,Reg width pull ups,3xFail,Bodyweight,7,Bodyweight,6,Bodyweight,5,,,,,
2/12/2025,Heavy Pull,Sitting wide curls,3xFail,25.,,25.,,25.,,,,,,Hard as fuck
2/12/2025,Heavy Pull,Reverse bench sitting wide rows,3xFail,25.,,25.,,25.,,,,,,slow and controlled; hard to hold at top
2/12/2025,Heavy Pull,Sitting overhead bar curls,3xFail + Drop,120.,,120.,,120.,,,Dropset,,,Pretty Fuckin hard
2/12/2025,Heavy Pull,Preachers,1 Set,60.,,,,,,,,,,flat bar
,,,,,,,,,,,,,,
3/21/2025,Heavy Pull,Reg width pulls ups,3xFail,Bodyweight,8,Bodyweight,8,,,,,,,
3/21/2025,Heavy Pull,Preachers,3xFail,70.,6,70.,6,70.,6,,,,,Hard af
3/21/2025,Heavy Pull,Wide row machine,3xFail,70.,,70.,,75.,,,,,,Try 80 next time
3/21/2025,Heavy Pull,Rope hammer curls,3xFail,50.,,50.,,50.,,,,,,
,,,,,,,,,,,,,,
4/15/2025,Heavy Pull,Pull ups,2xFail,Bodyweight,,Bodyweight,,,,,,,,
4/15/2025,Heavy Pull,Preachers,3xFail,60.,,70.,,70.,,,,,,
4/15/2025,Heavy Pull,High pull back machine,3xFail,115.,,135.,,135.,,,,,,each side
4/15/2025,-Superset-,,,,,,,,,,,,,
4/15/2025,Abs,Decline weighted abs,1 Set,,,,,,,,,,,
,,,,,,,,,,,,,,
10/22/2025,Light Pull,Stretch sitting curls,4xFail,20.,,20.,,20.,,20.,,,,go to 25 or 30 next time
10/22/2025,Light Pull,Sitting back row rope,4xFail,70.,,70.,,70.,,70.,,,,go to 85 next week
10/22/2025,Light Pull,Rope hammer curl,4xFail,35.,,35.,,35.,,35.,,,,go to 42.5 next week
10/22/2025,-Superset-,,,,,,,,,,,,,
10/22/2025,Light Pull,Lat rope pull downs,3xFail,35.,,35.,,35.,,,,,,go to 42.5 next time
10/22/2025,Light Pull,Preachers,3xFail,60.,,60.,,60.,,,,,,flat
,,,,,,,,,,,,,,
10/31/2025,Heavy Pull,High pull machine,4xFail,60.,,60.,,60.,,60.,,,,"lower back hurts ; each side 
+1"
10/31/2025,Heavy Pull,Bb rows,4xFail,100.,,100.,,100.,,100.,,,,can go higher
,,,,,,,,,,,,,,
11/13/2025,Heavy Pull,Pull ups,4x5,Bodyweight,5,Bodyweight,5,Bodyweight,5,Bodyweight,5,,,
11/13/2025,Heavy Pull,Wide db sitting curls,3xFail + Drop + Negative,30.,,25.,,25.,,,Dropset,,Negative,
11/13/2025,Heavy Pull,Sitting wide pulls,3xFail,120.,,120.,,120.,,,,,,
,,,,,,,,,,,,,,
11/22/2025,Heavy Pull,Pull ups,3xFail,Bodyweight,7,Bodyweight,5,,,,,,,"Barely got 7, 5"
11/22/2025,Heavy Pull,Sitting low pull rope,2xFail + Drop,100.,,100.,,,,,Dropset,,,
11/22/2025,Heavy Pull,Wide preachers,3xFail,60.,,60.,,60.,,,,,,
11/22/2025,Heavy Pull,Close grip preachers,2xFail + Drop,50.,,50.,,,,,Dropset,,,
11/22/2025,Heavy Pull,Lat rope pull downs,3xFail,50.,,50.,,50.,,,,,,Trying 50
,,,,,,,,,,,,,,
11/28/2025,Heavy Pull,Pull ups,3xFail,Bodyweight,,Bodyweight,,Bodyweight,,,,,,
11/28/2025,Heavy Pull,Stretch curls,3xFail,30.,,30.,,30.,,,,,,
11/28/2025,Heavy Pull,Rope high face pulls,3xFail,,,,,,,,,,,
11/28/2025,Heavy Pull,Preachers,3xFail + Drop,70.,,70.,,70.,,,Dropset,,,70 on machine
11/28/2025,Heavy Pull,Lat rope pull downs,3xFail,,,,,,,,,,,
11/28/2025,Heavy Pull,Shrugs,3xFail,90.,,80.,,,,,,,,
,,,,,,,,,,,,,,
12/6/2025,Heavy Pull,Pull ups,3xFail,Bodyweight,,Bodyweight,,Bodyweight,,,,,,
12/6/2025,Heavy Pull,Sitting wide db curls,3xFail,25.,,25.,,25.,,,,,,perfect
12/6/2025,Heavy Pull,Laying down wide db rows,2xFail,30.,,25.,,20.,,,,,,perfect
12/6/2025,Heavy Pull,Supinated Close grip bar pull downs,2xFail,130.,,130.,,,,,,,,
,,,,,,,,,,,,,,
12/10/2025,Heavy Pull,Pull ups,3xFail,Bodyweight,,Bodyweight,,Bodyweight,,,,,,
12/10/2025,Heavy Pull,Sitting low pull rope,3xFail + Drop,100.,,110.,,120.,,,Dropset,,,Start with 120 next time
12/10/2025,Heavy Pull,Wide preachers,3xFail,70.,4,60.,,60.,,,,,,Trying 70. Barely got 4.
12/10/2025,Heavy Pull,Close grip preachers,2xFail + Drop,50.,,50.,,,,,Dropset,,,
12/10/2025,Heavy Pull,Lat rope pull downs,,,,,,,,,,,,skipping today
,,,,,,,,,,,,,,
12/16/2025,Heavy Pull,Pull ups,2xFail,Bodyweight,,Bodyweight,,,,,,,,
12/16/2025,Heavy Pull,Wide grip preachers,3xFail + Drop,50.,,70.,,70.,,,Dropset,,,
12/16/2025,Heavy Pull,High back row machine,3xFail,90.,,90.,,,,,,,,"2 plates each side 
+1"
12/16/2025,Heavy Pull,21s,2 Sets,50.,21,50.,21,,,,,,,
12/16/2025,Abs,Standing oblique crunches,1 Set,,,,,,,,,,,1 plate
,,,,,,,,,,,,,,
12/22/2025,Heavy Pull,Pull ups,2xFail,Bodyweight,,Bodyweight,,,,,,,,
12/22/2025,Heavy Pull,Wide grip preachers,3xFail + Drop,60.,,70.,,70.,,,Dropset,,,
12/22/2025,Heavy Pull,High back row machine,3xFail,90.,,115.,,115.,,,,,,
12/22/2025,Heavy Pull,21s,2 Sets,50.,21,50.,21,,,,,,,
12/22/2025,Abs,Standing oblique crunches,1 Set,,,,,,,,,,,1 plate
,,,,,,,,,,,,,,
1/1/2026,Heavy Pull,Pull ups,3xFail,Bodyweight,,Bodyweight,,Bodyweight,,,,,,
1/1/2026,Heavy Pull,Wide grip preachers,3xFail + Drop,60.,,70.,,70.,,,Dropset,,,"50 only today, sore forearms"
1/1/2026,Heavy Pull,Lat rope pull downs,3xFail,57.5,,57.5,,57.5,,,,,,starting at 57.5
1/1/2026,Heavy Pull,Sitting Low pull,3xFail,,,,,,,,,,,
,,,,,,,,,,,,,,
1/6/2026,Heavy Pull,Pull ups,2xFail,Bodyweight,10,Bodyweight,8,,,,,,,
1/6/2026,Heavy Pull,Stretch curls,3xFail,35.,5,30.,,30.,,,,,,
1/6/2026,Heavy Pull,High row machine,3xFail + Drop,90.,,115.,,115.,,,Dropset,,Dropset,
1/6/2026,Heavy Pull,Shrugs,3xFail,90.,,90.,,90.,,,,,,maybe 95 next time
1/6/2026,Heavy Pull,Wide grip preachers,3xFail + Drop,70.,,60.,,60.,,,Dropset,,,
1/6/2026,Abs,Side Oblique machine,3xFail,110.,,110.,,110.,,,,,,Hard as fuck
,,,,,,,,,,,,,,
1/12/2026,Heavy Pull,Sitting wide curls,3xFail,30.,,30.,,30.,,,,,,perfect
1/12/2026,Heavy Pull,High row machine,3xFail + Drop,100.,,125.,,115.,,,Dropset,,,Try 115 all way through next
1/12/2026,Heavy Pull,Supinated Close grip bar pull downs,2xFail,130.,,130.,,,,,,,,
1/12/2026,Abs,Ab crunch machine,3xFail,180.,,180.,,180.,,,,,,Side oblique was taken
,,,,,,,,,,,,,,
1/28/2026,Heavy Pull,Sitting wide curls,3xFail,30.,,25.,,25.,,,,,,Perfect
1/28/2026,Heavy Pull,High row machine,3xFail + Drop,115.,,95.,,90.,,,Dropset,,,Weak this week
1/28/2026,Heavy Pull,Supinated Close grip bar pull downs,2xFail,130.,,130.,,,,,,,,
1/28/2026,Abs,Ab crunch machine,3xFail,180.,,180.,,180.,,,,,,Perfect
1/28/2026,Heavy Pull,21s,1 Set,50.,21,,,,,,,,,
,,,,,,,,,,,,,,
2/6/2023,Heavy Push,Bench,3 Sets,145.,8,145.,6,145.,5,,,,,150 next week
2/6/2023,Heavy Push,Incline db,3 Sets,45.,10,45.,8,45.,8,,,,,Try 50s next week
2/6/2023,-Superset-,,,,,,,,,,,,,
2/6/2023,Heavy Push,Tricep push downs,3 Sets,180.,8,180.,8,180.,8,,,,,pretty tough
2/6/2023,Heavy Push,Db flys,3 Sets,35.,8,35.,6,35.,5,,,,,
2/6/2023,Heavy Push,Regular skulls,3 Sets,30.,8,30.,6,30.,5,,,,,30s each side; doing some dunk stuff
,,,,,,,,,,,,,,
2/13/2023,Heavy Push,Incline bench,3 Sets,145.,8,145.,6,145.,5,,,,,Got 145 pretty perfect
2/13/2023,-Superset-,,,,,,,,,,,,,
2/13/2023,Heavy Push,Tricep push downs,3 Sets,180.,8,180.,8,180.,8,,,,,
2/13/2023,Heavy Push,Mid height flies,4 Sets,60.,8,60.,6,60.,5,60.,4,,,Trying 60
2/13/2023,-Superset-,,,,,,,,,,,,,
2/13/2023,Heavy Push,Regular skulls,3 Sets,20.,8,20.,6,20.,5,,,,,20s on each side of ez
2/13/2023,Heavy Push,Single arm db skull,4 Sets,25.,8,25.,6,25.,5,25.,4,,,Hurt left side back; changing this
,,,,,,,,,,,,,,
3/30/2023,Heavy Push,Incline,3 Sets,145.,8,145.,8,145.,6,,,,,first chest day in weeks (wrist injury)
3/30/2023,Heavy Push,Rope presses,1 Set,60.,,,,,,,,,,regular and tall pull down height
,,,,,,,,,,,,,,
3/31/2023,Heavy Push,Db mid height pause press,3xFail,30.,8,30.,,30.,,,,,,tris with shoulders
3/31/2023,-Superset-,,,,,,,,,,,,,
3/31/2023,Heavy Push,Tricep push downs,3 Sets,180.,8,180.,8,180.,8,,,,,
3/31/2023,Heavy Push,Skulls,3xFail,15.,8,15.,,15.,,,,,,15s each side; 20 next week
3/31/2023,-Superset-,,,,,,,,,,,,,
3/31/2023,Heavy Push,T raises,3 Sets,20.,8,20.,8,20.,8,,,,,
,,,,,,,,,,,,,,
4/6/2023,Heavy Push,Bb press,4xFail,55.,8,55.,,55.,,55.,,,,chest n tris
4/6/2023,Heavy Push,Tricep push downs,4 Sets,180.,8,180.,8,180.,8,180.,8,,,
4/6/2023,-Superset-,,,,,,,,,,,,,
4/6/2023,Heavy Push,Sleds backwards,8 Sets,,20yd,,20yd,,20yd,,20yd,,,8 total sets
4/6/2023,Heavy Push,Incline chest machine,3 Sets + Drop,55.,8,55.,8,55.,8,,Dropset,,,55 each side
,,,,,,,,,,,,,,
4/14/2023,Heavy Push,Incline bb,4 Sets,145.,8,145.,6,145.,5,145.,4,,,
4/14/2023,Heavy Push,Rope flies,5 Sets,60.,,60.,,65.,,65.,,70.,,"mid height, downwards"
4/14/2023,-SUPER-,,,,,,,,,,,,,
4/14/2023,Heavy Push,Tricep push downs,3xFail,180.,8,180.,,180.,,,,,,50lbs on the ones by stairs
4/14/2023,-SUPER-,,,,,,,,,,,,,
4/14/2023,Heavy Push,Sleds,3 Sets,,40yd,,40yd,,40yd,,,,,
4/14/2023,Abs,5min of abs,1 Set,,5m,,,,,,,,,
,,,,,,,,,,,,,,
4/21/2023,Heavy Push,Incline Chest press,3xFail,55.,8,60.,,60.,,,,,,shoulder sore; moved to 60 each side
4/21/2023,Heavy Push,Mid height flies,1 Set,60.,8,,,,,,,,,Left shoulder hurting; skip chest rest of day
4/21/2023,Heavy Push,Tricep pull down rope,3xFail,60.,,60.,,60.,,,,,,
4/21/2023,Heavy Push,Overhead rope tricep pushes,3xFail,190.,,190.,,190.,,,,,,
4/21/2023,Abs,5 min of abs,1 Set,,5m,,,,,,,,,
,,,,,,,,,,,,,,
4/27/2023,Heavy Push,Bench,4 Sets,150.,8,150.,6,150.,5,150.,4,,,Trying 150; perfect
4/27/2023,Heavy Push,Incline db,3xFail,50.,8,50.,,50.,,,,,,Try 50?
4/27/2023,-Superset-,,,,,,,,,,,,,
4/27/2023,Heavy Push,Tricep rope press downs,3 Sets,180.,8,190.,8,190.,8,,,,,moved to 190 last two
4/27/2023,Heavy Push,Rope downward flies,3xFail,,8,,,,,,,,,
4/27/2023,-Superset-,,,,,,,,,,,,,
4/27/2023,Heavy Push,Rope overheads,3 Sets,190.,8,190.,8,190.,8,,,,,
4/27/2023,Abs,5 min of abs,1 Set,,5m,,,,,,,,,
,,,,,,,,,,,,,,
5/3/2023,Heavy Push,Incline bb,4xFail,150.,,150.,,145.,,145.,,,,
5/3/2023,Heavy Push,Mid height flies,3xFail,60.,8,60.,,60.,,,,,,Right arm hurting
5/3/2023,-Superset-,,,,,,,,,,,,,
5/3/2023,Heavy Push,Rope pull downs,3xFail,190.,,190.,,190.,,,,,,
5/3/2023,Heavy Push,Overhead downward flies,3 Sets,60.,8,60.,8,60.,8,,,,,
5/3/2023,-Superset-,,,,,,,,,,,,,
5/3/2023,Heavy Push,Overhead rope pulls,3 Sets,200.,8,200.,8,200.,8,,,,,
5/3/2023,Abs,Abs heavy,1 Set,,,,,,,,,,,
,,,,,,,,,,,,,,
5/10/2023,Heavy Push,Bench,3xFail,150.,8,150.,8,150.,8,,,,,Go 155 next week
5/10/2023,Heavy Push,Squats,3 Sets,225.,6,225.,6,225.,6,,,,,
5/10/2023,Heavy Push,Bb incline,4 Sets,55.,8,55.,8,55.,8,55.,8,,,Go 60 next week
5/10/2023,-Superset-,,,,,,,,,,,,,
