Date,Workout Type,Exercise,Reps and Sets,Weight (Set 1),Reps (Set 1),Weight (Set 2),Reps (Set 2),Weight (Set 3),Reps (Set 3),Weight (Set 4),Reps (Set 4),Weight (Set 5),Reps (Set 5),Note
,,,,,,,,,,,,,,
5/12/2023,All body,Sitting stretch curls,4 Sets,40.,8,40.,6,40.,5,40.,4,,,Try 40.
5/12/2023,-Superset-,,,,,,,,,,,,,
5/12/2023,All body,Deadlift,4 Sets,195.,8,195.,6,195.,5,195.,4,,,Try 195. Go to 185 if too much.
5/12/2023,All body,Incline bench,4 Sets,150.,8,150.,6,150.,5,150.,4,,,
,,,,,,,,,,,,,,
5/16/2023,Heavy Pull,Sitting stretch curls,4 Sets,40.,8,40.,6,40.,5,40.,4,,,40..hard as fuck.
5/16/2023,-Superset-,,,,,,,,,,,,,
5/16/2023,Heavy Pull,Shrugs,3 Sets,75.,10,75.,10,75.,10,,,,,Pretty tough on the forearms supering this.
5/16/2023,Heavy Pull,Sitting pully,3 Sets + Drop,90.,8,90.,8,90.,8,,Dropset,,,
5/16/2023,Heavy Pull,Preacher curls,4 Sets,80.,8,80.,6,70.,5,70.,4,,,Gonna be hard af. Did 70 for last 2 sets.
5/16/2023,-Superset-,,,,,,,,,,,,,cuz we ran outta time
5/16/2023,Heavy Pull,Sitting overhead pull-downs,4xFail,100.,8,100.,,100.,,100.,,,,
,,,,,,,,,,,,,,
5/22/2023,Heavy Pull,Standing barbell,4xFail,80.,8,80.,,80.,,80.,,,,Stay at 80 until you can do 4x8 or somethin.
5/22/2023,-Superset-,,,,,,,,,,,,,
5/22/2023,Heavy Pull,Deadlift,4 Sets,205.,8,205.,8,205.,8,205.,8,,,Did 8x4. Go up to 225 next week make sure u warm up.
5/22/2023,Heavy Pull,Preachers,3xFail + Drop,90.,,90.,,90.,,,Dropset,,,
5/22/2023,Heavy Pull,Sitting rope pull machine,3 Sets + Drop,80.,8,80.,8,80.,8,,Dropset,,,
5/22/2023,Abs,Abs,1 Set,,5m,,,,,,,,,5 min of abs. (Weighted decline sit ups).
,,,,,,,,,,,,,,
5/31/2023,Heavy Pull,Regular width pull ups,4xFail,Bodyweight,7,Bodyweight,8,Bodyweight,8,Bodyweight,7,,,
5/31/2023,-Superset-,,,,,,,,,,,,,
5/31/2023,Heavy Pull,Mid pause db press,4xFail,45.,,50.,,55.,,55.,,,,warm up +3x8 or fail. Try 55 next week. Stay balanced.
5/31/2023,Heavy Pull,Curls,4xFail,40.,8,40.,,40.,,40.,,,,Trying 45 if 40s easy enough. Barely got 8 at 40. Staying at 40.
5/31/2023,-Superset-,,,,,,,,,,,,,
5/31/2023,Heavy Pull,T raises,3xFail,20.,8,20.,8,20.,8,,,,,hard af. Hurt left shoulder a lil bit.
5/31/2023,Heavy Pull,Sitting pulling rows,4xFail + Drop,90.,8,90.,,90.,,90.,,,Dropset,
5/31/2023,-Superset-,,,,,,,,,,,,,
5/31/2023,Heavy Pull,Standing Rope curls,1 Set,,,,,,,,,,,
,,,,,,,,,,,,,,
5/16/2023,Heavy Pull,Sitting stretch curls,4 Sets,40.,8,40.,6,40.,5,40.,4,,,40..perfect.
5/16/2023,-Superset-,,,,,,,,,,,,,
5/16/2023,Heavy Pull,Shrugs,3 Sets,75.,10,80.,10,80.,10,,,,,75. Then 80. Hard af when u go slow.
5/16/2023,Heavy Pull,Sitting pully,3 Sets + Drop,90.,8,90.,8,90.,8,,Dropset,,,Perfect. Go up to 100.
5/16/2023,Heavy Pull,Preacher curls,4 Sets,90.,8,90.,6,90.,5,90.,4,,,
5/16/2023,-Superset-,,,,,,,,,,,,,cuz we ran outta time
5/16/2023,Heavy Pull,Sitting overhead pull-downs,4xFail,100.,8,100.,,100.,,100.,,,,
,,,,,,,,,,,,,,
6/13/2023,Heavy Pull,Standing barbell,4xFail,80.,8,80.,,80.,,80.,,,,Stay at 80 until you can do 4x8 or somethin.
6/13/2023,-Superset-,,,,,,,,,,,,,
6/13/2023,Heavy Pull,Deadlift,4 Sets,205.,8,205.,8,205.,8,205.,8,,,Did 8x4. Go up to 225 next week make sure u warm up.
6/13/2023,Heavy Pull,Preachers,3xFail + Drop,90.,,90.,,90.,,,Dropset,,,
6/13/2023,Heavy Pull,Sitting rope pull machine,3 Sets + Drop,80.,8,80.,8,80.,8,,Dropset,,,
6/13/2023,Abs,Abs,1 Set,,5m,,,,,,,,,5 min of abs. (Weighted decline sit ups).
,,,,,,,,,,,,,,
6/23/2023,Heavy Pull,Regular width pull ups,4xFail,Bodyweight,7,Bodyweight,7,Bodyweight,6,Bodyweight,6,,,
6/23/2023,-Superset-,,,,,,,,,,,,,
6/23/2023,Heavy Pull,Mid pause db press,4xFail,55.,8,55.,,55.,,55.,,,,warm up +3x8 or fail. 55. Hard af.
6/23/2023,Heavy Pull,Curls,4xFail,40.,8,40.,,40.,,40.,,,,40s. Hard af.
6/23/2023,-Superset-,,,,,,,,,,,,,
6/23/2023,Heavy Pull,T raises,3xFail,20.,8,20.,,20.,,,,,,hard af. Hurt left shoulder a lil bit.
6/23/2023,Heavy Pull,Sitting pulling rows,4xFail + Drop,90.,8,90.,,90.,,90.,,,Dropset,
6/23/2023,-Superset-,,,,,,,,,,,,,
6/23/2023,Heavy Pull,Standing Rope curls,1 Set,,,,,,,,,,,
6/23/2023,Abs,Abs,1 Set,,,,,,,,,,,Heavy qbs.
,,,,,,,,,,,,,,
7/5/2023,Heavy Pull,Regular width pull ups,3 Sets,Bodyweight,5,Bodyweight,5,Bodyweight,5,,,,,
7/5/2023,Heavy Pull,Curls,4xFail,40.,8,40.,,40.,,40.,,,,
7/5/2023,Heavy Pull,Sitting pulling rows,4xFail + Drop,90.,8,90.,,90.,,90.,,,Dropset,
7/5/2023,-Superset-,,,,,,,,,,,,,
7/5/2023,Heavy Pull,Standing Rope curls,1 Set,,,,,,,,,,,
,,,,,,,,,,,,,,
7/14/2023,Heavy Pull,Standing barbell,4xFail,80.,8,80.,,80.,,80.,,,,Stay at 80 until you can do 4x8 or somethin.
7/14/2023,-Superset-,,,,,,,,,,,,,
7/14/2023,Heavy Pull,Chest machine,5 Sets + Drop,70.,,70.,,70.,,70.,,70.,Dropset,Don't know weight yet. 70 on each side.
7/14/2023,Heavy Pull,Preachers,3xFail + Drop,90.,,90.,,90.,,,Dropset,,,
7/14/2023,Heavy Pull,Sitting rope pull machine,3 Sets + Drop,80.,8,80.,8,80.,8,,Dropset,,,
7/14/2023,Abs,Abs,1 Set,,5m,,,,,,,,,5 min of abs. (Weighted decline sit ups).
,,,,,,,,,,,,,,
7/24/2023,Heavy Pull,Sitting stretch curls,4 Sets,40.,8,40.,6,30.,5,30.,4,,,40 for first 2. Then 30s. Try 40 again next week.
7/24/2023,-Superset-,,,,,,,,,,,,,
7/24/2023,Heavy Pull,Shrugs,3 Sets,80.,10,80.,10,80.,10,,,,,Pretty tough.
7/24/2023,Heavy Pull,Sitting row machine,3 Sets,70.,8,70.,8,70.,8,,,,,on each side.
7/24/2023,Heavy Pull,Preacher curls,4 Sets,90.,8,90.,6,90.,5,90.,4,,,
7/24/2023,-Superset-,,,,,,,,,,,,,cuz we ran outta time
7/24/2023,Heavy Pull,Sitting overhead pull-downs,4xFail,100.,8,100.,,100.,,100.,,,,
7/24/2023,Abs,Abs,1 Set,,,,,,,,,,,
,,,,,,,,,,,,,,
8/6/2023,Heavy Pull,Standing barbell,4xFail,80.,8,80.,,80.,,80.,,,,Stay at 80 until you can do 4x8 or somethin.
8/6/2023,-Superset-,,,,,,,,,,,,,
8/6/2023,Heavy Pull,Deadlift,4 Sets,205.,8,205.,6,205.,5,205.,4,,,Did 8x4. Do 225 next week. Back felt great.
8/6/2023,Heavy Pull,Preachers,3xFail + Drop,80.,,80.,,80.,,,Dropset,,,Hard af.
8/6/2023,Heavy Pull,Low row machine,3 Sets + Drop,55.,8,55.,8,55.,8,,Dropset,,,on each side. Go 60 next week.
8/6/2023,Abs,Abs,1 Set,,5m,,,,,,,,,5 min of abs. (Weighted decline sit ups).
,,,,,,,,,,,,,,
8/17/2023,Heavy Pull,Regular width pull ups,3 Sets,Bodyweight,7,Bodyweight,6,Bodyweight,5,,,,,
8/17/2023,Heavy Pull,Curls,4xFail,40.,8,40.,,40.,,40.,,,,
8/17/2023,Heavy Pull,Sitting pulling rows,4xFail + Drop,60.,,60.,,60.,,60.,,,Dropset,low row machine for now. 60 each. Perfect.
8/17/2023,-Superset-,,,,,,,,,,,,,
